"ADRIANO ALMEIDA DE ARAUJO","MURITIBA"
"ADRIANO COSTA AMORIM TRANSITAR","CACHOEIRA"
"AGUIAR & SOUZA LTDA ME","ITAPETINGA"
"AIG CLINICA DO TRANSITO LTDA","SAO SEBASTIAO DO PASSE"
"ALEX ANDRADE DANTAS LTDA","CAMAMU"
"ANAGETRANS CLINICA DE MEDICINA NO TRANSITO LTDA","ANAGE"
"ANDREIA SOUZA AZEVEDO ALVES E CIA LTDA ME","LIVRAMENTO DE NOSSA SENHORA"
"APTO TRAN LTDA","CACULE"
"ARAUJO QUEIROZ CLINICA LTDA","SANTO ESTEVAO"
"ARLLEN GRAEL GOMES DA SILVA ME","CAMPO FORMOSO"
"ATENDIMENTO MEDICO E PSICOLOGICO LTDA","SANTO ANTONIO DE JESUS"
"AURIGA CLINCA TRANSITO LTDA ME","CAMACARI"
"AURIGA CLINICA TRANSITO LTDA","SANTO ANTONIO DE JESUS"
"AUTO-CLINICA MEDEIROS NETO LTDA ME","MEDEIROS NETO"
"AUTOMED - CLINICA MEDICA LTDA ME","FEIRA DE SANTANA"
"AVALLIARE SERVICOS MEDICOS E PSICOLOGICOS LTDA","SALVADOR"
"B ALENCAR CLINICA DO TRANSITO LTDA","SAO GONCALO DOS CAMPOS"
"B E F GESTAO EMPRESARIAL E SERVICOS DE PSI EIRELI","SALVADOR"
"BAHIA CLINICAS LTDA ME","PORTO SEGURO"
"BAHIA TRAFEGO CONSULTORIA PSICO MEDICO LTDA","SALVADOR"
"BD CLINICA DE TRANSITO LTDA","FEIRA DE SANTANA"
"BLI CLINICA DE PSICO E MEDICINA DO TRAFEGO LTDA","MORRO DO CHAPEU"
"BM CLINICA DO TRANSITO LTDA ME","BARREIRAS"
"BPA CLINICA DO TRANSITO LTDA","ALAGOINHAS"
"BREJOTRANS CLINICA DE MEDICINA DO TRANSITO LTDA","ITUACU"
"C INTEG DE SAUDE E OFTLAMO DE CAJAZEIRAS LTDA ME","SALVADOR"
"C PRINCESINHA DO TRANSITO DE PSICOLOGIA E MEDICINA","FEIRA DE SANTANA"
"C.M.P. CLINICA DE MEDICINA E PSICOLOGIA LTDA ME","JUAZEIRO"
"CACMED MEDICINA E PSICOLOGIA DO TRANSITO LTDA","SALVADOR"
"CAM CLINICA ATENDIMENTO MEDICO LTDA ME","SENHOR DO BONFIM"
"CAMP CLINICA DE ATENDIMENTO MEDICO E PSICO LTDAME","CAMPO FORMOSO"
"CARVALHO E CAMELO LTDA ME","LUIS EDUARDO MAGALHAES"
"CEMEPA CENTRO DE MED E PSICOLOGIA APLICADA LTDA ME","ALAGOINHAS"
"CEMPT CLINICA ESP EM MEDI E PSIC DO TRANSITO LTDA","SALVADOR"
"CENTRO DE ENSINO E ATENCAO INTEGRAL A SAUDE LTDA","SALVADOR"
"CENTRO DE ESPECIALIDADES ODONTOMEDICAS LTDA ME","IRECE"
"CENTRO DE SAUDE DO SUDOESTE BAIANO LTDA","BRUMADO"
"CENTRO INTEGRADO AVALIACAO MEDICA DE TUCANO LTDA","TUCANO"
"CENTRO MEDICO DE EXAMES PSIC TEIXEIRA LTDA-ME","TEIXEIRA DE FREITAS"
"CEREMP CENTRO REF EM MEDICINA E PSI DO TRAN EIRELI","SALVADOR"
"CHAGASCARVALHO MEDICINA E PSICOLOGIA DO TRANSITO","SALVADOR"
"CLAUDIANE DOS SANTOS SOUZA","REMANSO"
"CLIAMED LTDA","SAO GONCALO DOS CAMPOS"
"CLIHAB CLINICA DE HABILITACAO LTDA","SALVADOR"
"CLIMAR CLINICA DE AMARGOSA LTDA ME","AMARGOSA"
"CLIMEP CLINICA MED E PSICOLOGICA ESPE DO TRANSITO","JUAZEIRO"
"CLIMEP CLINICA MEDICA E PSICOLOGICA LTDA ME","CAMACARI"
"CLIMEPI CLINICA MEDICA PSICOLOGICA IPIAU LTDA ME","IPIAU"
"CLIMET MEDICINA E PSICOLOGIA DE TRAFEGO LTDA ME","BARREIRAS"
"CLIMETI CLINICA DE AT MED E PSIC DO TRANSI LTDA ME","ITABUNA"
"CLIMETRAN CLINICA MEDICA DO TRANSITO LTDA ME","ITABUNA"
"CLIMPE CLINICA MEDICA E PSICOLOGICA LTDA","SALVADOR"
"CLIMPINA CLINICA MEDICA MARACAS LTDA","MARACAS"
"CLIMPT CLINICA DE MEDICINA E PSIC DO TRANSITO LTDA","SALVADOR"
"CLIMPVAJ CLINICA MEDICA E PSI DO VALE DO JEQUIRICA","MUTUIPE"
"CLIMSAJ CLIN MED E PSI DE ST ANT JESUS LTDA ME","SANTO ANTONIO DE JESUS"
"CLIN ESPECIALIZADA DE TRANSITO DE JUAZEIRO","JUAZEIRO"
"CLIN MEDICA PSICOLOGICA VITORIA DA CONQUISTA LTDA","VITORIA DA CONQUISTA"
"CLINAP CLINICA NAZARE DE ATEND MED E PSI LTDA ME","NAZARE"
"CLINAUTO SERVICOS MEDICOS SOCIEDADES SIMPLES ME","SALVADOR"
"CLINCA DO TRANSITO DE SANTO AMARO LTDA","SANTO AMARO"
"CLINHAB CLINICA MED E PSI DE FEIRA DE SANT LTDAEPP","FEIRA DE SANTANA"
"CLINICA ALPHA PSICOSSOMATICA LTDA ME","FEIRA DE SANTANA"
"CLINICA AMB DO TRANSITO LTDA","VERA CRUZ"
"CLINICA APTIDAO LUIS EDUARDO LTDA","LUIS EDUARDO MAGALHAES"
"CLINICA AUTOSSTIMA LTDA","IPIAU"
"CLINICA BENEVIDES MUNIZ LTDA ME","JUAZEIRO"
"CLINICA CAMAMU DO TRANSITO E MEDICINA LTDA ME","CAMAMU"
"CLINICA CANAS DO TRANSITO E MEDICINA LTDA - ME","CANAVIEIRAS"
"CLINICA CLIMPSI LTDA","ALCOBACA"
"CLINICA CLINITRAN URANDI LTDA","URANDI"
"CLINICA CLIPMED LTDA","SAO DESIDERIO"
"CLINICA CMO BRUMADO LDTA","BRUMADO"
"CLINICA CMO CAMACARI LTDA","CAMACARI"
"CLINICA CMO DIAS DAVILA LTDA","DIAS D AVILA"
"CLINICA CMO GUANAMBI LTDA","GUANAMBI"
"CLINICA CMO LAURO DE FREITAS LTDA","LAURO DE FREITAS"
"CLINICA CMO SIMOES FILHO LTDA","SIMOES FILHO"
"CLINICA CMT FEIRA DE SANTANA LTDA","FEIRA DE SANTANA"
"CLINICA CMT JACOBINA LTDA","JACOBINA"
"CLINICA COMPORTAMENTAL DE PSICOLOGIA LTDA ME","JEQUIE"
"CLINICA DE ATEND MEDICO E PSICOLOGICO DO SALVADOR","SALVADOR"
"CLINICA DE ATENDIMENTO MED PSIC DE FILADELFIA LTDA","FILADELFIA"
"CLINICA DE ATENDIMENTO MEDICO FEIRA D SANTANA LTDA","FEIRA DE SANTANA"
"CLINICA DE AV MED DE TRAF E PSIC DE TRANSITO LTDA","LAURO DE FREITAS"
"CLINICA DE AVALIACAO MEDICA DE ITABELA LTDA ME","ITABELA"
"CLINICA DE CAMACARI LTDA ME","CAMACARI"
"CLINICA DE EXAMES MEDICOS E PSICOLOGICOS LTDA","TUCANO"
"CLINICA DE HABILITACAO DO CONDUTOR LTDA","JACOBINA"
"CLINICA DE ILHES DO TRANSITO E MEDICINA LTDA","ILHEUS"
"CLINICA DE MEDICINA DO TRAFEGO DE CAMACARI","CAMACARI"
"CLINICA DE MEDICINA DO TRANSITO LTDA","ITAPETINGA"
"CLINICA DE MEDICINA NO TRANSITO MAURILZA LTDA","GUANAMBI"
"CLINICA DE PERIC MED PSIC DRA CAMILA M MOURA LTDA","LIVRAMENTO DE NOSSA SENHORA"
"CLINICA DE PSICOLOGIA DO TRANSITO DE IRECE LTDA ME","IRECE"
"CLINICA DE PSICOLOGIA DO TRANSITO SAMAVI LTDA","SANTANA"
"CLINICA DE PSICOLOGIA E MEDICINA DO TRAFEGO LTDA","ITABUNA"
"CLINICA DE PSICOLOGIA E MEDICINA LTDA","JEQUIE"
"CLINICA DE PSICOLOGIA E MEDICINA LTDA","VITORIA DA CONQUISTA"
"CLINICA DE PSICOLOGIA VIKTOR EMIL FRANKI LTDA","LAURO DE FREITAS"
"CLINICA DE SAUDE DE CASTRO ALVES","CASTRO ALVES"
"CLINICA DE SAUDE DO TRANSITO DE IRECE LTDA","IRECE"
"CLINICA DE TRANSITO BOM JESUS DA LAPA LTDA","BOM JESUS DA LAPA"
"CLINICA DE TRANSITO CASA NOVA LTDA","CASA NOVA"
"CLINICA DE TRANSITO CASTELO BRANCO LTDA","SALVADOR"
"CLINICA DE TRANSITO CORACAO DE MARIA LTDA","CORACAO DE MARIA"
"CLINICA DE TRANSITO DE LUIS EDUARDO LTDA ME","LUIS EDUARDO MAGALHAES"
"CLINICA DE TRANSITO DE SALVADOR LTDA ME","SALVADOR"
"CLINICA DE TRANSITO FEIRENSE LTDA","FEIRA DE SANTANA"
"CLINICA DE TRANSITO GUANAMBI LTDA","GUANAMBI"
"CLINICA DE TRANSITO IACU LTDA","IACU"
"CLINICA DE TRANSITO IRARA LTDA","IRARA"
"CLINICA DE TRANSITO ITIUBA LTDA","ITIUBA"
"CLINICA DE TRANSITO MADRE DE DEUS LTDA","MADRE DE DEUS"
"CLINICA DE TRANSITO MAR GRANDE LTDA","VERA CRUZ"
"CLINICA DE TRANSITO MURITIBA LTDA","MURITIBA"
"CLINICA DE TRANSITO PSIMED LTDA","BARRA DO CHOCA"
"CLINICA DE TRANSITO SANTA CLARA LTDA","BARRA DO CHOCA"
"CLINICA DE TRANSITO SAO SEBASTIAO LTDA","BELO CAMPO"
"CLINICA DE TRANSITO VALENTE LTDA ME","VALENTE"
"CLINICA DIRECAO JUAZEIRO LTDA","JUAZEIRO"
"CLINICA DO MOTORISTA ARACI LTDA","ARACI"
"CLINICA DO MOTORISTA CONCEICAO DO JACUIPE LTDA","CONCEICAO DO JACUIPE"
"CLINICA DO MOTORISTA DA BAHIA LTDA","SALVADOR"
"CLINICA DO MOTORISTA DA BAHIA LTDA-ME","CAMACARI"
"CLINICA DO MOTORISTA DE BRUMADO LTDA ME","BRUMADO"
"CLINICA DO MOTORISTA DO HANGAR LTDA","SALVADOR"
"CLINICA DO MOTORISTA INHAMBUPE","INHAMBUPE"
"CLINICA DO MOTORISTA SAO CRISTOVAO LTDA","CATU"
"CLINICA DO MOTORISTA SAO CRISTOVAO LTDA","CONCEICAO DO COITE"
"CLINICA DO MOTORISTA SAO CRISTOVAO LTDA","ENTRE RIOS"
"CLINICA DO MOTORISTA SAO CRISTOVAO LTDA","MATA DE SAO JOAO"
"CLINICA DO MOTORISTA SAO CRISTOVAO LTDA","POJUCA"
"CLINICA DO MOTORISTA SAO CRISTOVAO LTDA","SAO SEBASTIAO DO PASSE"
"CLINICA DO RECONCAVO LTDA ME","SANTO ANTONIO DE JESUS"
"CLINICA DO TRAFEGO SANTA DULCE LTDA","SALVADOR"
"CLINICA DO TRAFEGO SAO CRISTOVAO LTDA","CAMACARI"
"CLINICA DO TRANS RIBEIRA DO POMBAL PSI E MED LTDA","RIBEIRA DO POMBAL"
"CLINICA DO TRANSITO ALPHAVILLE LTDA ME","SALVADOR"
"CLINICA DO TRANSITO BARRA DA ESTIVA LTDA","BARRA DA ESTIVA"
"CLINICA DO TRANSITO BONFIM LTDA ME","SENHOR DO BONFIM"
"CLINICA DO TRANSITO CACULE LTDA","CACULE"
"CLINICA DO TRANSITO CAETITE LTDA","CAETITE"
"CLINICA DO TRANSITO CAPIM GROSSO DE PSI E MED LTDA","CAPIM GROSSO"
"CLINICA DO TRANSITO CARINHANHA LTDA","CARINHANHA"
"CLINICA DO TRANSITO CATU","CATU"
"CLINICA DO TRANSITO CLINICAR LTDA","DIAS D AVILA"
"CLINICA DO TRANSITO DE CACHOEIRA LTDA","CACHOEIRA"
"CLINICA DO TRANSITO DE CACULE LTDA","CACULE"
"CLINICA DO TRANSITO DE CANDIDO SALES LTDA","CANDIDO SALES"
"CLINICA DO TRANSITO DE GANDU LTDA","GANDU"
"CLINICA DO TRANSITO DE ITABUNA LTDA ME","ITABUNA"
"CLINICA DO TRANSITO DE JEREMOABO LTDA","JEREMOABO"
"CLINICA DO TRANSITO DE MURITIBA LTDA","MURITIBA"
"CLINICA DO TRANSITO DE PARIPE LTDA","SALVADOR"
"CLINICA DO TRANSITO DE PAULO AFONSO LTDA","PAULO AFONSO"
"CLINICA DO TRANSITO DE RIACHAO DO JACUIPE LTDA","RIACHAO DO JACUIPE"
"CLINICA DO TRANSITO DE VALENCA LTDA ME","VALENCA"
"CLINICA DO TRANSITO DO SUBURBIO LTDA","SALVADOR"
"CLINICA DO TRANSITO E MEDIC MORRO DE SAO PAULO LTD","VALENCA"
"CLINICA DO TRANSITO ENTRE RIOS LTDA","ENTRE RIOS"
"CLINICA DO TRANSITO H M LTDA ME","ALAGOINHAS"
"CLINICA DO TRANSITO IRAMAIA DE PSIC E MED LTDA","ITABERABA"
"CLINICA DO TRANSITO JAGUAQUARA DE PSICO E MED LTDA","JAGUAQUARA"
"CLINICA DO TRANSITO MONTE SANTO LTDA","MONTE SANTO"
"CLINICA DO TRANSITO PARAMIRIM LTDA","PARAMIRIM"
"CLINICA DO TRANSITO PAULO AFONSO S/C LTDA","PAULO AFONSO"
"CLINICA DO TRANSITO POCOES BAHIA LTDA","POCOES"
"CLINICA DO TRANSITO PROVIDA LTDA","URANDI"
"CLINICA DO TRANSITO RAMOS LTDA","MARACAS"
"CLINICA DO TRANSITO RENOVAR LTDA","POCOES"
"CLINICA DO TRANSITO RIBEIRA LTDA","SALVADOR"
"CLINICA DO TRANSITO SANTA BARBARA LTDA","SANTA BARBARA"
"CLINICA DO TRANSITO SANTA LUZ LTDA","SANTALUZ"
"CLINICA DO TRANSITO SAO FRANCISCO DO CONDE LTDA","SAO FRANCISCO DO CONDE"
"CLINICA DO TRANSITO SAO FRANCISCO LTDA","BOM JESUS DA LAPA"
"CLINICA DO TRANSITO SAO MARCOS LTDA","SALVADOR"
"CLINICA DO TRANSITO TREVO LTDA","SANTO ESTEVAO"
"CLINICA DO VALE LTDA","JUAZEIRO"
"CLINICA ESPECIALIZADA DO TRANSITO DA BAHIA EIRELI","AMARGOSA"
"CLINICA ESTRELA DE DAVI LTDA ME","SIMOES FILHO"
"CLINICA EUNAPOLIS DO TRANSITO E MEDICINA LTDA ME","EUNAPOLIS"
"CLINICA FENIX AVA DE APTIDAO FISICA E PSIC LTDA ME","VITORIA DA CONQUISTA"
"CLINICA HABILITAR DE IPIRA-ME","IPIRA"
"CLINICA ILHEUS DE ATEND MED E PSIC DE TRAN LTDA ME","ILHEUS"
"CLINICA INTEGRADA DO CONDUTOR LTDA","EUCLIDES DA CUNHA"
"CLINICA INTEGRADA DO CONDUTOR LTDA","LAPAO"
"CLINICA INTEGRADA DO CONDUTOR LTDA","TUCANO"
"CLINICA INTEGRADA DO MOTORISTA LTDA","RIO REAL"
"CLINICA INTEGRADA DO TRANSITO LTDA","MORRO DO CHAPEU"
"CLINICA IPIAU DO TRANSITO E MEDICINA LTDA","IPIAU"
"CLINICA IRECE DO TRANSITO E MEDICINA LTDA-ME","IRECE"
"CLINICA ITABUNA DO TRANSITO E MEDICINA LTDA","ITABUNA"
"CLINICA JEREMOABO DO TRANSITO E MEDICINA LTDA","JEREMOABO"
"CLINICA KAFKA DE MEDICINA E PSICOLOGIA DO TRANSITO","JEQUIE"
"CLINICA MARIA RITA LTDA","PAULO AFONSO"
"CLINICA MED DE TRAFEGO NOSSA SENA DAS GROTAS LTDA","JUAZEIRO"
"CLINICA MED E PSI DE TRANS DE CONCEICAO DO COITE","CONCEICAO DO COITE"
"CLINICA MED E PSI DO TRANSITO DE ITABUNA LTDA ME","ITABUNA"
"CLINICA MED E PSIC DO TRAF DE CAMPO FORMOSO LTDA","CAMPO FORMOSO"
"CLINICA MED E PSIC DO TRAFEGO DE CAPIM GROSSO LTDA","CAPIM GROSSO"
"CLINICA MED E PSIC DO TRAFEGO DE ITABELA LTDA","ITABELA"
"CLINICA MED E PSIC DO TRANSITO DE CARINHANHA LTDA","CARINHANHA"
"CLINICA MED E PSIC DO TRANSITO DE IBOTIRAMA LTDA","IBOTIRAMA"
"CLINICA MED E PSIC LIVRAMENT DE NOSSA SENHORA LTDA","LIVRAMENTO DE NOSSA SENHORA"
"CLINICA MED E PSICO DO TRAFEGO DE CACHOEIRA LTDA","CACHOEIRA"
"CLINICA MED E PSICO DO TRANSITO DE RIO REAL LTDA","RIO REAL"
"CLINICA MEDIC E PSIC DE CAITITE LTDA","CAETITE"
"CLINICA MEDICA AZEVEDO ALVES LTDA","LIVRAMENTO DE NOSSA SENHORA"
"CLINICA MEDICA DE PERICIA LTDA ME","CRUZ DAS ALMAS"
"CLINICA MEDICA DE TRANSITO DE CORRENTINA LTDA","CORRENTINA"
"CLINICA MEDICA DO TRANSITO LTDA ME","ILHEUS"
"CLINICA MEDICA DR FABIO BRASILEIRO LTDA","SEABRA"
"CLINICA MEDICA E PSIC DE EUCLIDES DA CUNHA LTDA","EUCLIDES DA CUNHA"
"CLINICA MEDICA E PSIC DE MUTUIPE DE SAO ROQUE LTDA","MUTUIPE"
"CLINICA MEDICA E PSIC DE RIBEIRA DO POMBAL LTDA","RIBEIRA DO POMBAL"
"CLINICA MEDICA E PSIC DO TRAFEGO DE IPIRA LTDA","IPIRA"
"CLINICA MEDICA E PSIC DO TRAFEGO DE MARACAS LTDA","MARACAS"
"CLINICA MEDICA E PSIC DO TRAFEGO DE VALENTE LTDA","VALENTE"
"CLINICA MEDICA E PSIC DO TRANSITO DA BARRA LTDA","BARRA"
"CLINICA MEDICA E PSIC DO TRANSITO DE ALCOBACA LTDA","ALCOBACA"
"CLINICA MEDICA E PSIC DO TRANSITO ESPLANADA LTDA","ESPLANADA"
"CLINICA MEDICA E PSIC GUIMARAES MOURA LTDA me","GUANAMBI"
"CLINICA MEDICA E PSICOLOGIA AUTO ESTIMA LTDA ME","JEQUIE"
"CLINICA MEDICA E PSICOLOGICA AMARGOSA BA LTDA","AMARGOSA"
"CLINICA MEDICA E PSICOLOGICA CANDEIAS LTDA","CANDEIAS"
"CLINICA MEDICA E PSICOLOGICA DE GANDU LTDA","GANDU"
"CLINICA MEDICA E PSICOLOGICA DE IGUAI LTDA","IGUAI"
"CLINICA MEDICA E PSICOLOGICA DE ITAMARAJU LTDA","ITAMARAJU"
"CLINICA MEDICA E PSICOLOGICA DE ITANHEM LTDA","ITANHEM"
"CLINICA MEDICA E PSICOLOGICA DE JACOBINA LTDA ME","JACOBINA"
"CLINICA MEDICA E PSICOLOGICA DE JEREMOABO EIRELI","JEREMOABO"
"CLINICA MEDICA E PSICOLOGICA DE LIVRAMENTO LTDA","LIVRAMENTO DE NOSSA SENHORA"
"CLINICA MEDICA E PSICOLOGICA DE POCOES BA LTDA","POCOES"
"CLINICA MEDICA E PSICOLOGICA DE SANTALUZ LTDA","SANTALUZ"
"CLINICA MEDICA E PSICOLOGICA DE TRAFEGO LTDA ME","EUCLIDES DA CUNHA"
"CLINICA MEDICA E PSICOLOGICA DO TRANSITO","UBATA"
"CLINICA MEDICA E PSICOLOGICA DO TRANSITO LTDA ME","ILHEUS"
"CLINICA MEDICA E PSICOLOGICA DO TRANSITO LTDA ME","SALVADOR"
"CLINICA MEDICA E PSICOLOGICA DO TUCANO LTDA","TUCANO"
"CLINICA MEDICA E PSICOLOGICA HABILITRANSITO LTDA","SALVADOR"
"CLINICA MEDICA E PSICOLOGICA INOVA LTDA ME","JAGUAQUARA"
"CLINICA MEDICA E PSICOLOGICA LTDA","EUNAPOLIS"
"CLINICA MEDICA E PSICOLOGICA MEDEIROS NETO LTDA","MEDEIROS NETO"
"CLINICA MEDICA E PSICOLOGICA NRC LTDA ME","TEIXEIRA DE FREITAS"
"CLINICA MEDICA E PSICOLOGICA POJUCA LTDA","POJUCA"
"CLINICA MEDICA E PSICOLOGICA S/S LTDA ME","PAULO AFONSO"
"CLINICA MEDICA E PSICOLOGICA SANTO ESTEVAO LTDA","SANTO ESTEVAO"
"CLINICA MEDICA E PSICOLOGICA SANTOS COSTA LTDA","EUNAPOLIS"
"CLINICA MEDICA E PSICOLOGICA SAO JORGE LTDA ME","SALVADOR"
"CLINICA MEDICA E PSICOLOGICA SUAMAN LTDA","NOVA VICOSA"
"CLINICA MEDICA E PSICOTESTE DO TRANSITO SC LTDA ME","SENHOR DO BONFIM"
"CLINICA MEDICA EMERENCIANO LTDA ME","SANTA MARIA DA VITORIA"
"CLINICA MEDICA ESPECIALIZADA BRITO LTDA","VITORIA DA CONQUISTA"
"CLINICA MEDICA GONTIJO MACIEL S/C LTDA","BARREIRAS"
"CLINICA MEDICA HABILITAR DE MACAUBAS LTDA","MACAUBAS"
"CLINICA MEDICA HABILITAR DE PARAMIRIM LTDA","PARAMIRIM"
"CLINICA MEDICA INNOVARE LTDA ME","POCOES"
"CLINICA MEDICA JEVEAUX LTDA ME","SALVADOR"
"CLINICA MEDICA JUAZEIRO DO TRANSITO LTDA","JUAZEIRO"
"CLINICA MEDICA LGM LTDA","SAO FELIX DO CORIBE"
"CLINICA MEDICA LITORAL NORTE LTDA ME","LAURO DE FREITAS"
"CLINICA MEDICA ODONTOLOGIA LTDA","SALVADOR"
"CLINICA MEDICA PIAGET LTDA ME","VITORIA DA CONQUISTA"
"CLINICA MEDICA POMBAL DO TRANSITO LTDA ME","RIBEIRA DO POMBAL"
"CLINICA MEDICA PSICOLOGICA ANDRADE MACHADO LTDA","BOM JESUS DA LAPA"
