"ADRIANO ALMEIDA DE ARAUJO","MURITIBA"
"CLINICA MEDICA PSICOLOGICA FERREIRA LTDA","SALVADOR"
"CLINICA MEDICA PSICOLOGICA TEIXEIRA LTDA","TEIXEIRA DE FREITAS"
"CLINICA MEDICA PSICOLOGICA VITORIA LTDA ME","GUANAMBI"
"CLINICA MEDICA SANTA ISABEL LTDA","GUANAMBI"
"CLINICA MEDICA SANTA ISABEL S/C LTDA ME","CAMACARI"
"CLINICA MEDICA SANTA ISABEL S/C LTDA ME","SALVADOR"
"CLINICA MEDICA TRANSCLIMED LTDA EPP","PAULO AFONSO"
"CLINICA MEDICA VIE LTDA ME","SANTO ANTONIO DE JESUS"
"CLINICA MEDICA VISAO E VIDA LTDA","SAPEACU"
"CLINICA MEDICINA DE TRAFEGO CICERO DANTAS LTDA","CICERO DANTAS"
"CLINICA MEDICINA DE TRAFEGO RIBEIRA DO POMBAL LTDA","RIBEIRA DO POMBAL"
"CLINICA MEIDCA E PSICOLOGICA BEM ESTAR LTDA ME","JEQUIE"
"CLINICA NOSSA SENHORA DAS GRACAS LTDA ME","ITAPETINGA"
"CLINICA NOSSA SENHORA DE FATIMA LTDA","SALVADOR"
"CLINICA NOVAES SOUZA LTDA ME","JEQUIE"
"CLINICA OMEGA LTDA","FEIRA DE SANTANA"
"CLINICA PARALELA DE MEDICINA DO TRANSITO LTDA","SALVADOR"
"CLINICA PERICIAS MEDICAS E PSI SAO FRANCISCO LTDA","CAETITE"
"CLINICA PORTO SEGURO DO TRANSITO E MED LTDA ME","PORTO SEGURO"
"CLINICA PSICOLMED LTDA","VALENCA"
"CLINICA PSICOLOGICA PSIQUE LTDA","MACAUBAS"
"CLINICA PSIMED ITAMARAJU LTDA","ITAMARAJU"
"CLINICA S S DE PSICOLOGIA E MEDICINA LTDA ME","JEQUIE"
"CLINICA SANTA BARBARA ALPHA LTDA","SALVADOR"
"CLINICA SANTO ANTONIO DE JEQUIE LTDA ME","JEQUIE"
"CLINICA SANTO ESTEVAO LTDA ME","LAURO DE FREITAS"
"CLINICA SAO CRISTOVAO LTDA ME","FEIRA DE SANTANA"
"CLINICA SAO FRANCISCO DE PADUA LTDA ME","SALVADOR"
"CLINICA SAO LUCAS DE PSICOLOGIA E MEDICINA LTDA ME","JACOBINA"
"CLINICA SAO LUCAS LTDA","CONCEICAO DO COITE"
"CLINICA SAO VITOR LTDA ME","CAMACARI"
"CLINICA SAO VITOR LTDA ME","FEIRA DE SANTANA"
"CLINICA SAUDE DO MOTORISTA LTDA","SALVADOR"
"CLINICA SENHOR DO BONFIM LTDA","SALVADOR"
"CLINICA SKINNER LTDA","VITORIA DA CONQUISTA"
"CLINICA TRANSITAR BARREIRAS LTDA","BARREIRAS"
"CLINICA TRANSITAR CATU PSIC E MED DO TRANSITO LTDA","CATU"
"CLINICA TRANSITAR LTDA ME","GUANAMBI"
"CLINICA TRANSITAR PSIC E MED DO TRANSITO LTDA","CAMACARI"
"CLINICA TRANSITE LTDA ME","ALAGOINHAS"
"CLINICA TRANSMED LTDA ME","VITORIA DA CONQUISTA"
"CLINICA TRANSNEURO LTDA","CORRENTINA"
"CLINICA TRES IRMAOS DE PSICOLOGIA E MEDICINA LTDA","SANTO ESTEVAO"
"CLINICA VALE OFTALMO CONSULTORIO LTDA","SALVADOR"
"CLINICA VITALLI EIRELI","SAO FELIX DO CORIBE"
"CLINICAM CLINICA DE TRANSITO DE CAMACARI LTDA ME","CAMACARI"
"CLINITRAN CLINICA DO TRANSITO GARIBALDI LTDA ME","SALVADOR"
"CLINITRAN CLINICA DO TRANSITO LTDA","SIMOES FILHO"
"CLINITRAN MEDICINA E PSICOLOGIA DO TRANSITO LTDA","LAURO DE FREITAS"
"CLINITRAN MEDICINA E PSICOLOGIA DO TRANSITO LTDA","SALVADOR"
"CLINMED CONCEICAO DO ALMEIDA LTDA","CONCEICAO DO ALMEIDA"
"CLINMED SAO FRANCISCO DO CONDE LTDA","SAO FRANCISCO DO CONDE"
"CLINT CAMAMU LTDA ME","CAMAMU"
"CLINTRANS CLINICA DE TRANSITO DE FEIRA DE SANTANA","FEIRA DE SANTANA"
"CLINTRANS MEDICINA PSICOLOGIA DO TRANSITO LTDA ME","SALVADOR"
"CLINVIA SERVICOS MEDICOS E PSICOLOGICOS LTDA","DIAS D AVILA"
"CLISAL CLINICA DO TRANSITO LTDA ME","SALVADOR"
"CLISEA CLINICA DO TRANSITO DE SEABRA LTDA ME","SEABRA"
"CLITAN CLINICA DO TRANSITO LTDA ME","SALVADOR"
"CLITRAF CLINICA DE TRAFEGO LTDA","SENHOR DO BONFIM"
"CLITRAF CLINICA DO TRAFEGO LTDA","NAZARE"
"CLITRANSAL CLINICA DO TRANSITO DE SALVADOR LTDA ME","SALVADOR"
"CMEP CLINICA MEDICA E PSICOLOGICA LTDA","CAMPO FORMOSO"
"CMFS CLINICA ESP EM MEDICINA E PSICO DO TRANSITO","FEIRA DE SANTANA"
"CMOPEL CLINICA MEDICA PSICOLOGICA EUNAPOLIS LTDA","EUNAPOLIS"
"CMPTRAN CLIN ESP EM MED E PSICOLOGIA DO TRANSITO","SALVADOR"
"COPSI CENTRO DE MED DE TRAFEGO E PSIC LTDA ME","SALVADOR"
"CR CLINICA MEDICA E PSICOLOGICA LTDA","PORTO SEGURO"
"CRUZ CLINICA MEDICA LTDA","CRUZ DAS ALMAS"
"CTCB CLINICA DO TRANSITO CABULA LTDA","SALVADOR"
"CTCJ CLINICA DO TRANSITO CAJAZEIRAS LTDA","SALVADOR"
"CTE CLINICA DE TRANSITO LTDA","ESPLANADA"
"CTFS CLINICA DO TRANSITO DE FEIRA DE SANTANA LTDA","FEIRA DE SANTANA"
"CTIT CLINICA DO TRANSITO ITAPOAN LTDA","SALVADOR"
"CTRAN CLINICA DO TRANSITO DE EUNAPOLIS LTDA ME","EUNAPOLIS"
"CTRANSITO CLINICA DE TRANSITO LTDA ME","FEIRA DE SANTANA"
"CTS CLINICA DE TRANSITO SALVADOR LTDA","SALVADOR"
"CTSC CLINICA DO TRANSITO SAO CAETANO LTDA","SALVADOR"
"DAF CLINICA MEDICA E PSICOLOGICA LTDA","SALVADOR"
"DANIELA BOMJARDIM CLARO BOM MED","SALVADOR"
"DANIELA BOMJARDIM CLARO BOM MED LTDA","SANTA CRUZ CABRALIA"
"DELATRAN MEDICINA DE TRANSITO LTDA","SALVADOR"
"DETRANCLIN CLINICA DE PSI E PSICANALISE LTDA ME","SALVADOR"
"DICLIN MEDICINA DO TRANSITO LTDA","SALVADOR"
"DILZA MARIA DE ARAUJO ALMEIDA SERVICOS MEDICOS ME","CONCEICAO DO COITE"
"DM CLINICA DE MEDICINA DO TRANSITO LTDA ME","ITABUNA"
"DMMG CLINICA DE MEDICINA DO TRANSITO LTDA ME","VITORIA DA CONQUISTA"
"DR CLINICA DE MEDICINA DO TRANSITO LTDA ME","ILHEUS"
"DSS TRANS CLINICA LTDA ME","CANDEIAS"
"ECF CLINICA DO TRANSITO EIRELI","ITABERABA"
"EDUCAMED SERVICOS PSICOLOGICOS EIRELI","MUCURI"
"ELLOS PSICOLOGIA E MEDICINA DO TRANSITO LTDA","POJUCA"
"FGM CLINICA MEDICA SC LTDA","BOM JESUS DA LAPA"
"FOCO CLINICA DE TRANSITO LTDA","MATA DE SAO JOAO"
"FRAGA E RIBEIRO LTDA ME","PORTO SEGURO"
"GAMA PAIM CLINICAS DO TRANSITO LTDA","MATA DE SAO JOAO"
"GAMA PAIM CLINICAS DO TRANSITO LTDA","POJUCA"
"GILDETE CLINICA DO TRANSITO LTDA","MARACAS"
"GLAUCIA SILVA SANTANA DE ARAUJO ME","SANTA MARIA DA VITORIA"
"GOMES CARVALHO MED E PSIC DO TRANSITO LTDA MR","ITABUNA"
"GRUPO DE APOIO A CRIANCA COM CANCER BAHIA","SALVADOR"
"GTM DO TRANSITO CLINICA MEDICA LTDA","SALVADOR"
"HA PSIMED LTDA","DIAS D AVILA"
"HABILITA ALAGOINHAS CLINICA MEDICA LTDA","ALAGOINHAS"
"HABILITA BAHIA CLINICA MEDICA LTDA","FEIRA DE SANTANA"
"HABILITA CLINICA MEDICA LTDA ME","FEIRA DE SANTANA"
"HABILITA SERVICOS MEDICOS E PSICOLOGICOS LTDA","IPIAU"
"HABILITAR - CENTRO DE PSIC E MEDC DO TRAF LTDA","VITORIA DA CONQUISTA"
"HABILITAR CLINICA DE HABILITACAO PARA O TRANS LTDA","SALVADOR"
"HABILITAR CLINICA DO TRANSITO DE BELO CAMPO LTDA","BELO CAMPO"
"HABILITAR PSICOMED LTDA","BARRA DA ESTIVA"
"HABILITRAN CLIN DE AVALIACAO MEDICA E PSI DO TRANS","BRUMADO"
"HUMANIZA CLINICA INTEGRADA MULTIDISIPLINAR LTDA","SALVADOR"
"IBIZA CLINICA MEDICA E PSICOLOGICA LTDA","SALVADOR"
"IBOTIRAMA SERVICOS MEDICOS LTDA","IBOTIRAMA"
"IBRA CLINICA MEDICA E PSICOLOGICA LTDA","SALVADOR"
"IFC CLINICA DO TRANSITO LTDA","FEIRA DE SANTANA"
"IM CLINICA MEDICA E PSICOLOGICA LTDA","SALVADOR"
"IMAF CLINICA DE MEDICINA DE TRAFEGO LTDA ME","EUCLIDES DA CUNHA"
"IMAF CLINICA DE MEDICINA DE TRAFEGO LTDA ME","FEIRA DE SANTANA"
"INSTITUTO DE MEDICINA DO TRANSITO DA BAHIA LTDA","LAURO DE FREITAS"
"INTEGRAL SAUDE SERVICOS MEDICOS LTDA","TEIXEIRA DE FREITAS"
"ISA MED SERVICOS EM SAUDE LTDA","SANTO AMARO"
"ISADORA DOS SANTOS VILASBOAS ME","BOM JESUS DA LAPA"
"ITEM INSTITUTO DE ESPECIALIDADES MEDICAS LTDA ME","ALAGOINHAS"
"J FERREIRA CLINICA DE TRANSITO LTDA","SANTO AMARO"
"JAIRA VELOSO LEAL","CANDEIAS"
"JL CLINICA MEDICA E PSICOLOGICA LTDA","CAPIM GROSSO"
"JOSEANE MENDES DA SILVA ARAUJO LTDA","FEIRA DE SANTANA"
"JOSELINO RODRIGUES DE SOUZA JUNIOR","CONCEICAO DO JACUIPE"
"JWI SERVICO MEDICO E PSICOLOGICO LTDA","LAPAO"
"LA SERVICOS DE TRANSITO LTDA","SALVADOR"
"LC CLINICA MEDICA E PSICOLOGICA LTDA","SALVADOR"
"LCVM CLINICA ESPECIALIZADA LTDA","SALVADOR"
"LIFE CLIN CLINICA DE AVA MEDICA E PSICOLOGIC LTDA","LIVRAMENTO DE NOSSA SENHORA"
"LIMA E EGUCHI CLINICA MEDICA E PSICOLOGICA LTDA","DIAS D AVILA"
"LINS ASSUNCAO CLINICA MEDICA E PSICOLOGICA LTDA ME","GUANAMBI"
"LITORAL MED LTDA","MATA DE SAO JOAO"
"LMD CLINICA DE PSICOLOGIA E MEDICINA DO TRANSITO","SALVADOR"
"LOTUS AVALIACAO MEDICA E PSICOLOGICA LTDA","ITAPETINGA"
"LUCIO RODRIGO DE JESUS NEVES","FEIRA DE SANTANA"
"LUMEM SERVICOS MEDICOS EM SAUDE LTDA","JUAZEIRO"
"M L A CLINICA DE MEDICINA DO TRANSITO LTDA ME","BARREIRAS"
"MACHADO&MATTA SERVICOS MED E PSICOLOGICOS LTDA","BARRA"
"MADU COMERCIO DE PRODUTOS ALIMENTICIOS LTDA","JEQUIE"
"MAK CLINICA LTDA","CAMACAN"
"MARITRAN POMBAL CLINICA DE PSIC E MED TRANS LTDA","RIBEIRA DO POMBAL"
"MARLI ALVES DA COSTA MEDEIROS ME","ITANHEM"
"MARY ANNE GOMES SOBRINHO DE OLIVEIRA EIRELI","QUEIMADAS"
"MASTER CLIN ATENDIEMNTIO MEDICO LTDA ME","SALVADOR"
"MATERMED SERVICOS MEDICOS E HOSPITALARES LTDA ME","FEIRA DE SANTANA"
"MAW CLINICA DE PSICOLOGIA E MEDICA LTDA ME","MACAUBAS"
"MAXTRAN SERVICOS MEDICOS E PSICOLOGICOS LTDA-ME","SALVADOR"
"MC CLIN MED E PSICO PAULO AFONSO LTDA ME","PAULO AFONSO"
"MCV CLINICA DE TRANSITO EIRELI","CONCEICAO DO JACUIPE"
"MDA CLINICA MEDICA E PSICO DO TRANSITO LTDA","VALENCA"
"MED TRAFFIC CONSULTORIO PSICO MEDICO LTDA","LAURO DE FREITAS"
"MEDITRANSITO ESPECIALIZADA LTDA","SALVADOR"
"MEDTRAN MEDICINA DE TRAFEGO LTDA ME","SIMOES FILHO"
"MEDTRANS CLINICA DO TRANSITO LTDA","SALVADOR"
"MEDTRANS HABILITAR LTDA","CANDIDO SALES"
"MEDTRANS MEDICINA E PSICOLOGIA DO TRANSITO LTDA ME","SALVADOR"
"MEGACLIN CLINICA MED E PSI DO TRANSITO LTDA ME","SALVADOR"
"MG CLINICA DE TRANSITO LTDA","SALVADOR"
"MGM DO TRANSITO CLINICA MEDICA LTDA","SALVADOR"
"ML CLINICA DE MEDICINA E PSIC DO TRAFEGO LTDA","CAMPO FORMOSO"
"MOB CLINICA DE TRANSITO LTDA ME","SALVADOR"
"MOB CLINICA DO TRANSITO LTDA ME","FEIRA DE SANTANA"
"MOBIRUY CLINICA DE PSIC E MEDICINA DE TRAFEGO LTDA","RUY BARBOSA"
"MOBTRAN CLINICA DE PSICOLOGIA E MED DO TRFEGO LTDA","LUIS EDUARDO MAGALHAES"
"MOBTRANS PSICO E MEDICINA DO TRANSITO LTDA","CONCEICAO DO JACUIPE"
"MOTOMED CLINICA MEDICA LTDA","SALVADOR"
"MOTOR-CLIN CLINICA DO MOTORISTA LTDA","ILHEUS"
"MOVCLIN CLINICA DE PSIC E MEDICINA DO TRAFEGO LTDA","SANTANA"
"MOVIHABILITA LTDA","ARACI"
"MOVTRAN CLINICA DE PSIC E MED DO TRAFEGO LTDA","IBOTIRAMA"
"MULTICLIN CLIN. MEDICAS ESPECIALIZADAS S/C LTDA","SALVADOR"
"MV CLINICA DO TRANSITO LTDA - ME","CATU"
"N ROCHA & CIA LTDA ME","BRUMADO"
"NOGUEIRA & CARVALHO","SAO GONCALO DOS CAMPOS"
"NORMANHA VIANA E CIA LTDA ME","SANTA MARIA DA VITORIA"
"NOVAMED CLINICA MEDICA LTDA","FEIRA DE SANTANA"
"NOVAMED CLINICA MEDICA LTDA","PORTO SEGURO"
"NV CLINICA MED DE EXAMES E PSICOLOGICOS LTDA","NOVA VICOSA"
"ODOMED CLINICA MEDICA E ODONTOLOGICA LTDA ME","ALAGOINHAS"
"ORTOCLINICA LTDA","BARREIRAS"
"P N F CLINICA MEDICA ESPECIALIZADA PRO VIDA EIRELI","MUCURI"
"PALOCLIN CLINICA DE AVALIACAO MEDICA E PSICOLOGICA","VITORIA DA CONQUISTA"
"PEJOTRANS CLINIC DO TRANSITO LTDA","MATA DE SAO JOAO"
"PERITRAN PERICIAS MED E PSIC P/ O TRANSITO LTDA ME","SALVADOR"
"PERITRAN PERICIAS MED E PSIC PARA O TRANSITO LTDA","ALAGOINHAS"
"PM POLICLINICA DE TRANSITO LTDA ME","SALVADOR"
"POLICLIN CONS DE PSIC E MED DE TRAFEGO LTDA ME","SALVADOR"
"POLICLIN CONSULT DE PSIC E MED DE TRAFEGO LTDA ME","CACHOEIRA"
"POLICLIN CONSULTORIO DE PSIC E MED DE TRAF LTDA ME","SANTO AMARO"
"POLICLINICA MEDICA SIMOES FILHO SOCIEDADE SIMPLES","SIMOES FILHO"
"POLITRAN - POLICLINICA DE TRANSITO LTDA-ME","CAMACARI"
"POLITRAN POLICLINICA DE TRANSITO LTDA ME","ITABUNA"
"POLITRAN POLICLINICA DE TRANSITO LTDA ME","SALVADOR"
"PONTALTRAN CLINICA MED E PSI DO TRANSITO LTDA ME","EUNAPOLIS"
"PRADO CENTRO MEDICO DE EXAMES PSICOLOGICOS LTDA","PRADO"
"PRO-VIDA CLINICA MEDICA LTDA ME","CRUZ DAS ALMAS"
"PSICLIN SERV MEDICOS PSICOLOGICOS E RH EPP","ITABERABA"
"PSICLIN SERV MEDICOS PSICOLOGICOS E RH EPP","SALVADOR"
"PSICOCLINICA MBHT LTDA ME","SALVADOR"
"PSICOL ATENDIMENTO MEDICO & PSICOLOGICO LTDA ME","LAURO DE FREITAS"
"PSICOL ATENDIMENTO MEDICO & PSICOLOGICO LTDA ME","SALVADOR"
"PSICOLOGIA TRANSCENDER","VERA CRUZ"
"PSICOLOGIA TRANSCENDER EIRELI","LAURO DE FREITAS"
"PSICOMED - EXAME DE MOTORISTAS LTDA","TEIXEIRA DE FREITAS"
"PSICOMEDI-PSICOLOGIA E CLINICA MEDICA DE IPIRA LTD","IPIRA"
"PSICOMTRAN PSICOLOGIA E MED DO TRANSITO LTDA","LAURO DE FREITAS"
"PSICOTRANS CLINICA MED PSICOLOGICA DO TRANS LTDA","SIMOES FILHO"
"PSICOVIDA CLIN DE PSIC E MED DE TRAF S/C LTDA ME","JACOBINA"
"PSIMED CLINICA MEDIC E PSIC ESPECIALIZADA LTDA ME","FEIRA DE SANTANA"
"PSIMEICA PSICOLOGIA LTDA ME","ALAGOINHAS"
"PSITRANS CLINICA MEDICA E PSICOLOGICA LTDA","SALVADOR"
"PSITRANSITO CLINICA DE PSIC DO TRANSITO LTDA ME","LUIS EDUARDO MAGALHAES"
"PSIVIA CLINICA MEDICA E PSICOLOGICA DA BAHIA LTDA","CATU"
"RA CLINICA MEDICA E PSICOLOGICA LTDA ME","NOVA VICOSA"
"RAIZA CLINICA MEDICA E PSICOLOGICA LTDA","SALVADOR"
"RM CLINICA PSICOLOGICA E MEDICA LTDA","RIACHO DE SANTANA"
"RN CLINICA MEDICA E PSICOLOGICA LTDA","ITAMARAJU"
"RODRIGUES CLINICA DE TRANSITO EIRELI","IPIRA"
"RS CLINICA MEDICA LTDA ME","ITAMARAJU"
"RSM SERVICOS MEDICOS LTDA","SALVADOR"
"RUI CASTRO NETO DE MACAUBAS","MACAUBAS"
"SA CLINICA DE SAUDE DO TRAFEGO LTDA ME","IRECE"
"SALVACLIM CLINICA MED E PSI DE SALVADOR LTDA","SALVADOR"
"SANCLIN CLINICA DE TRANSITO LTDA","SANTO AMARO"
"SANDIN CLINICA MEDICA E PSICOLOGICA LTDA","SIMOES FILHO"
"SANTCLIN CLINICA MEDICA LTDA ME","MURITIBA"
"SAO CAETANO SERVICOES MEDICOS LTDA","SALVADOR"
"SB SAUDE CLINICA LTDA","SANTA BARBARA"
"SECLIN SANTO ESTEVAO LTDA ME","SANTO ESTEVAO"
"SEMESP-SERVICOS MEDICOS S/C LTDA ME","TEIXEIRA DE FREITAS"
"SENHOR DO BONFIM CLINICA MED E PSICOLOGICA LTDA ME","SENHOR DO BONFIM"
"SERVICOS MEDICOS SET CENTER LTDA","SANTO ANTONIO DE JESUS"
"SETRANSITO CENTRO DE SAUDE DO TRANSITO LTDA ME","RIACHAO DO JACUIPE"
"SOUZA & NEVES LTDA ME","SALVADOR"
"SSATRAN CLINICA MEDICA E PSICOLOGICA DO TRANS LTDA","SALVADOR"
"STOP CLIN SERVICOS MEDICOS LTDA ME","SERRINHA"
"SUPERCLIN CLINICA DE MEDICINA E PSI DO TRANS LTDA","SALVADOR"
"TED TRAN CLINICA MEDICA E PSICOLOGICA LTDA","SALVADOR"
"TEDCLIN CLINICA DO TRAFEGO LTDA","SALVADOR"
"TGM CLINICA MEDICA E PSICOLOGICA EIRELI","LAURO DE FREITAS"
"TICYANNE CAROLINA BASTOS FREITAS ME","FEIRA DE SANTANA"
"TL DE MIRANDA LTDA","PAULO AFONSO"
"TRANMECLINI CLINICA MEDICA DO TRANSITO LTDA","CAMACAN"
"TRANMECLINI CLINICA MEDICA DO TRANSITO LTDA","UBAITABA"
"TRANS DOURADO SERVICOS EM SAUDE LTDA","CACHOEIRA"
"TRANSAUDE CLINICA MEDICA ESPECIALIZADA LTDA","SALVADOR"
"TRANSCLIN ATEND. MEDICO-PSICOLOGICO LTDA","SALVADOR"
"TRANSCLINICA CLINICA DE TRANSITO LTDA ME","SEABRA"
"TRANSITARE SERVICOS MEDICOS E PSICOLOGICOS LTDA","ITABERABA"
"TRANSMED BARRA DO CHOCA CLINICA LTDA","BARRA DO CHOCA"
"TRANSMED CLIN DE PSIC E MEDIC DO TRAFEGO LTDA ME","SALVADOR"
"TRANSMOBI CLINICA DE PSICO E MED DE TRAFEGO LTDA","PIRITIBA"
"TRANSNOFRA SERVICOS DE MED E PSIC DE TRANSITO LTDA","SANTO AMARO"
"TRANSPARALELA CLINICA DO TRANSITO DA PARALELA LTDA","SALVADOR"
"TRANSPREV LTDA ME","SALVADOR"
"TRANSPSICO SERVICOS MEDICOS LTDA","SERRINHA"
"TRANSVIDA SERV. MED. E PSICOLOGICOS LTDA ME","SALVADOR"
"UNIDADE PSICOLOGICA GARCIA REIS LTDA","VITORIA DA CONQUISTA"
"VALDIMEIRE SANTOS OLIVEIRA ME","ALCOBACA"
"VALDIRENE FERREIRA DA SILVA","JAGUARARI"
"VALECLIM CLINICA MEDICA E PSICOLOGICA LTDA","VALENCA"
"VIA UNICA SERVICOS MEDICOS LTDA","SERRINHA"
"VIATRANS CLINICA DO TRANSITO LTDA","SAO SEBASTIAO DO PASSE"
"VICTRANS CLIN DE ATEND MED E PSICOLOGICO LTDA ME","CANDEIAS"
"VISUAL KLIN CLINICA MEDICA LTDAME","CRUZ DAS ALMAS"
"VITORIATRANS CLINICA DE MEDICINA NO TRANSITO LTDA","VITORIA DA CONQUISTA"
"VIVER CLINICA MEDICA E PSICOLOGICA DO TRANSITO","VITORIA DA CONQUISTA"
"WA CLINICA DA SAUDE LTDA","MACAUBAS"
