Id_Municipio,Municipio,Populacao
3301,ABAIRA,7452.0
3303,ABARE,18240.0
3305,ACAJUTIBA,14215.0
3253,ADUSTINA,14554.0
3307,AGUA FRIA,14871.0
3311,AIQUARA,4586.0
3313,ALAGOINHAS,160662.0
3315,ALCOBACA,25494.0
3317,ALMADINA,5327.0
3319,AMARGOSA,38478.0
3321,AMELIA RODRIGUES,24848.0
3071,AMERICA DOURADA,15583.0
3323,ANAGE,26715.0
3325,ANDARAI,13531.0
3255,ANDORINHA,15485.0
3327,ANGICAL,14178.0
3329,ANGUERA,11456.0
3331,ANTAS,15061.0
3333,ANTONIO CARDOSO,11501.0
3335,ANTONIO GONCALVES,11236.0
3337,APORA,16379.0
3257,APUAREMA,7114.0
3259,ARACAS,11946.0
3339,ARACATU,14422.0
3341,ARACI,50336.0
3343,ARAMARI,10122.0
3073,ARATACA,10463.0
3345,ARATUIPE,
3347,AURELINO LEAL,11409.0
3349,BAIANOPOLIS,14110.0
3351,BAIXA GRANDE,18680.0
3261,BANZAE,12309.0
3353,BARRA,53528.0
3355,BARRA DA ESTIVA,27582.0
3357,BARRA DO CHOCA,38481.0
3359,BARRA DO MENDES,14345.0
3361,BARRA DO ROCHA,5920.0
3363,BARREIRAS,170667.0
3075,BARRO ALTO,13911.0
3365,BARRO PRETO,5966.0
3077,BARROCAS,15743.0
3367,BELMONTE,20567.0
3369,BELO CAMPO,19042.0
3371,BIRITINGA,15606.0
3373,BOA NOVA,14052.0
3375,BOA VISTA DO TUPIM,17307.0
3377,BOM JESUS DA LAPA,68704.0
3263,BOM JESUS DA SERRA,10028.0
3379,BONINAL,14104.0
3265,BONITO,16393.0
3381,BOQUIRA,19829.0
3383,BOTUPORA,11411.0
3385,BREJOES,13272.0
3387,BREJOLANDIA,9377.0
3389,BROTAS DE MACAUBAS,12169.0
3391,BRUMADO,74095.0
3393,BUERAREMA,15056.0
3079,BURITIRAMA,20212.0
3395,CAATIBA,6224.0
3267,CABACEIRAS DO PARAGUACU,17039.0
3397,CACHOEIRA,30550.0
3399,CACULE,
3401,CAEM,10729.0
3269,CAETANOS,11500.0
3403,CAETITE,54572.0
3405,CAFARNAUM,18039.0
3407,CAIRU,18486.0
3409,CALDEIRAO GRANDE,13566.0
3411,CAMACAN,22756.0
3413,CAMACARI,319394.0
3415,CAMAMU,31775.0
3417,CAMPO ALEGRE DE LOURDES,32377.0
3419,CAMPO FORMOSO,74894.0
3421,CANAPOLIS,10612.0
3423,CANARANA,24989.0
3425,CANAVIEIRAS,34343.0
3427,CANDEAL,7969.0
3429,CANDEIAS,75083.0
3431,CANDIBA,13425.0
3433,CANDIDO SALES,26465.0
3435,CANSANCAO,39556.0
3085,CANUDOS,16662.0
3081,CAPELA DO ALTO ALEGRE,11055.0
3083,CAPIM GROSSO,35228.0
3271,CARAIBAS,10260.0
3437,CARAVELAS,21229.0
3439,CARDEAL DA SILVA,8634.0
3441,CARINHANHA,30375.0
3443,CASA NOVA,75815.0
3445,CASTRO ALVES,25471.0
3447,CATOLANDIA,3560.0
3449,CATU,50153.0
3273,CATURAMA,9115.0
3451,CENTRAL,16849.0
3453,CHORROCHO,10929.0
3455,CICERO DANTAS,32268.0
3457,CIPO,17836.0
3459,COARACI,17663.0
3461,COCOS,19817.0
3463,CONCEICAO DA FEIRA,21499.0
3465,CONCEICAO DO ALMEIDA,16184.0
3467,CONCEICAO DO COITE,71316.0
3469,CONCEICAO DO JACUIPE,37409.0
3471,CONDE,24434.0
3473,CONDEUBA,17571.0
3475,CONTENDAS DO SINCORA,4490.0
3477,CORACAO DE MARIA,28258.0
3479,CORDEIROS,7763.0
3481,CORIBE,14464.0
3483,CORONEL JOAO SA,17593.0
3485,CORRENTINA,34179.0
3487,COTEGIPE,13472.0
3489,CRAVOLANDIA,4514.0
3491,CRISOPOLIS,20343.0
3493,CRISTOPOLIS,14514.0
3495,CRUZ DAS ALMAS,63203.0
3497,CURACA,36021.0
3499,DARIO MEIRA,11094.0
3087,DIAS D AVILA,
3501,DOM BASILIO,12309.0
3503,DOM MACEDO COSTA,4588.0
3505,ELISIO MEDRADO,8066.0
3507,ENCRUZILHADA,19535.0
3509,ENTRE RIOS,39902.0
3309,ERICO CARDOSO,10948.0
3511,ESPLANADA,34146.0
3513,EUCLIDES DA CUNHA,64547.0
3117,EUNAPOLIS,120515.0
3089,FATIMA,18469.0
3275,FEIRA DA MATA,5825.0
3515,FEIRA DE SANTANA,657948.0
3091,FILADELFIA,18573.0
3517,FIRMINO ALVES,5006.0
3519,FLORESTA AZUL,11442.0
3521,FORMOSA DO RIO PRETO,27421.0
3523,GANDU,33938.0
3093,GAVIAO,4493.0
3525,GENTIO DO OURO,11263.0
3527,GLORIA,16072.0
3529,GONGOGI,5567.0
3531,GOVERNADOR MANGABEIRA,21314.0
3095,GUAJERU,8225.0
3533,GUANAMBI,93065.0
3535,GUARATINGA,19490.0
3097,HELIOPOLIS,13074.0
3537,IACU,25333.0
3539,IBIASSUCE,10754.0
3541,IBICARAI,22200.0
3543,IBICOARA,21690.0
3545,IBICUI,14306.0
3547,IBIPEBA,17128.0
3551,IBIPITANGA,14316.0
3553,IBIQUERA,3837.0
3555,IBIRAPITANGA,26794.0
3557,IBIRAPUA,9259.0
3559,IBIRATAIA,19375.0
3561,IBITIARA,15062.0
3563,IBITITA,17509.0
3565,IBOTIRAMA,27670.0
3567,ICHU,6415.0
3569,IGAPORA,16047.0
3277,IGRAPIUNA,13528.0
3571,IGUAI,21897.0
3573,ILHEUS,189028.0
3575,INHAMBUPE,35397.0
3577,IPECAETA,14064.0
3579,IPIAU,42507.0
3581,IPIRA,59264.0
3583,IPUPIARA,10318.0
3585,IRAJUBA,6255.0
3587,IRAMAIA,11060.0
3589,IRAQUARA,24759.0
3591,IRARA,29509.0
3593,IRECE,78425.0
3279,ITABELA,29563.0
3595,ITABERABA,
3597,ITABUNA,196676.0
3599,ITACARE,29337.0
3601,ITAETE,13822.0
3603,ITAGI,14314.0
3605,ITAGIBA,15792.0
3607,ITAGIMIRIM,6512.0
3281,ITAGUACU DA BAHIA,12683.0
3609,ITAJU DO COLONIA,6157.0
3611,ITAJUIPE,19249.0
3613,ITAMARAJU,
3615,ITAMARI,7219.0
3617,ITAMBE,25108.0
3619,ITANAGRA,6087.0
3621,ITANHEM,18258.0
3623,ITAPARICA,20369.0
3625,ITAPE,10658.0
3627,ITAPEBI,9501.0
3629,ITAPETINGA,68735.0
3631,ITAPICURU,33254.0
3633,ITAPITANGA,10630.0
3635,ITAQUARA,8448.0
3637,ITARANTIM,17517.0
3283,ITATIM,16375.0
3639,ITIRUCU,11261.0
3641,ITIUBA,35491.0
3643,ITORORO,16945.0
3645,ITUACU,18493.0
3647,ITUBERA,22299.0
3285,IUIU,11532.0
9859,JABORANDI,9592.0
3649,JACARACI,14901.0
3651,JACOBINA,86649.0
3653,JAGUAQUARA,47738.0
3655,JAGUARARI,34440.0
3657,JAGUARIPE,18300.0
3659,JANDAIRA,9535.0
3661,JEQUIE,168733.0
3663,JEREMOABO,39501.0
3665,JIQUIRICA,14066.0
3667,JITAUNA,14815.0
3099,JOAO DOURADO,25799.0
3669,JUAZEIRO,254481.0
3287,JUCURUCU,9944.0
3671,JUSSARA,16956.0
3069,JUSSARI,6059.0
3673,JUSSIAPE,7585.0
3675,LAFAIETE COUTINHO,4221.0
3289,LAGOA REAL,14546.0
3677,LAJE,21704.0
3679,LAJEDAO,3986.0
3681,LAJEDINHO,3621.0
3291,LAJEDO DO TABOCAL,7702.0
3683,LAMARAO,9305.0
3973,LAPAO,26998.0
3685,LAURO DE FREITAS,217960.0
3687,LENCOIS,11170.0
3689,LICINIO DE ALMEIDA,12208.0
3691,LIVRAMENTO DE NOSSA SENHORA,46249.0
1112,LUIS EDUARDO MAGALHAES,116662.0
3693,MACAJUBA,10758.0
3695,MACARANI,22596.0
3697,MACAUBAS,43725.0
3699,MACURURE,7455.0
3293,MADRE DE DEUS,19173.0
3975,MAETINGA,7212.0
3701,MAIQUINIQUE,9011.0
3703,MAIRI,18161.0
3705,MALHADA,15834.0
3707,MALHADA DE PEDRAS,8972.0
3709,MANOEL VITORINO,14295.0
3977,MANSIDAO,14484.0
3711,MARACAS,29197.0
3713,MARAGOGIPE,37225.0
3715,MARAU,25626.0
3717,MARCIONILIO SOUZA,9507.0
3719,MASCOTE,13941.0
3721,MATA DE SAO JOAO,44839.0
3295,MATINA,10629.0
3723,MEDEIROS NETO,22925.0
3725,MIGUEL CALMON,25317.0
3727,MILAGRES,11434.0
3729,MIRANGABA,16185.0
3297,MIRANTE,10523.0
3731,MONTE SANTO,49823.0
3733,MORPARA,8232.0
3735,MORRO DO CHAPEU,35224.0
3737,MORTUGABA,11487.0
3739,MUCUGE,12650.0
3741,MUCURI,40005.0
3299,MULUNGU DO MORRO,13625.0
3743,MUNDO NOVO,17417.0
3745,MUNIZ FERREIRA,7443.0
3005,MUQUEM DE SAO FRANCISCO,
3747,MURITIBA,30146.0
3749,MUTUIPE,20612.0
3751,NAZARE,28403.0
3753,NILO PECANHA,12418.0
3979,NORDESTINA,19500.0
3755,NOVA CANAA,14035.0
3007,NOVA FATIMA,8264.0
3009,NOVA IBIA,6701.0
3757,NOVA ITARANA,8059.0
3011,NOVA REDENCAO,7708.0
3759,NOVA SOURE,24906.0
3761,NOVA VICOSA,41551.0
3013,NOVO HORIZONTE,11565.0
3015,NOVO TRIUNFO,11197.0
3763,OLINDINA,23085.0
3765,OLIVEIRA DOS BREJINHOS,21334.0
3767,OURICANGAS,7939.0
3017,OUROLANDIA,20037.0
3769,PALMAS DE MONTE ALTO,20677.0
3771,PALMEIRAS,10819.0
3773,PARAMIRIM,21009.0
3775,PARATINGA,30671.0
3777,PARIPIRANGA,27866.0
3779,PAU BRASIL,9584.0
3781,PAULO AFONSO,119128.0
3981,PE DE SERRA,13675.0
3783,PEDRAO,6415.0
3785,PEDRO ALEXANDRE,14288.0
3787,PIATA,20859.0
3789,PILAO ARCADO,37272.0
3791,PINDAI,15146.0
3793,PINDOBACU,19625.0
3983,PINTADAS,10656.0
3019,PIRAI DO NORTE,11429.0
3795,PIRIPA,9255.0
3797,PIRITIBA,17838.0
3799,PLANALTINO,8254.0
3801,PLANALTO,24036.0
3803,POCOES,50642.0
3805,POJUCA,33608.0
3021,PONTO NOVO,18670.0
3807,PORTO SEGURO,181007.0
3809,POTIRAGUA,10636.0
3811,PRADO,37241.0
3813,PRESIDENTE DUTRA,15650.0
3815,PRESIDENTE JANIO QUADROS,12986.0
3023,PRESIDENTE TANCREDO NEVES,29343.0
3817,QUEIMADAS,27362.0
3819,QUIJINGUE,26457.0
3025,QUIXABEIRA,9815.0
3985,RAFAEL JAMBEIRO,20146.0
3821,REMANSO,42746.0
3823,RETIROLANDIA,14147.0
3825,RIACHAO DAS NEVES,22323.0
3827,RIACHAO DO JACUIPE,35118.0
3829,RIACHO DE SANTANA,32103.0
3831,RIBEIRA DO AMPARO,14525.0
3833,RIBEIRA DO POMBAL,56170.0
3027,RIBEIRAO DO LARGO,10039.0
3835,RIO DE CONTAS,13627.0
3837,RIO DO ANTONIO,13520.0
3839,RIO DO PIRES,10801.0
3841,RIO REAL,36997.0
3843,RODELAS,10801.0
3845,RUY BARBOSA,29606.0
3847,SALINAS DA MARGARIDA,15568.0
3849,SALVADOR,2568928.0
3851,SANTA BARBARA,21723.0
3853,SANTA BRIGIDA,15421.0
3855,SANTA CRUZ CABRALIA,30862.0
3857,SANTA CRUZ DA VITORIA,4721.0
3859,SANTA INES,10628.0
3987,SANTA LUZIA,14377.0
3863,SANTA MARIA DA VITORIA,40467.0
3549,SANTA RITA DE CASSIA,28826.0
3869,SANTA TERESINHA,
3861,SANTALUZ,39922.0
3865,SANTANA,25520.0
3867,SANTANOPOLIS,9023.0
3871,SANTO AMARO,58413.0
3873,SANTO ANTONIO DE JESUS,109267.0
3875,SANTO ESTEVAO,54940.0
3877,SAO DESIDERIO,34783.0
3029,SAO DOMINGOS,8693.0
3881,SAO FELIPE,20918.0
3879,SAO FELIX,11198.0
3031,SAO FELIX DO CORIBE,15740.0
3883,SAO FRANCISCO DO CONDE,40932.0
3989,SAO GABRIEL,19210.0
3885,SAO GONCALO DOS CAMPOS,41909.0
3035,SAO JOSE DA VITORIA,5451.0
3033,SAO JOSE DO JACUIPE,10556.0
3887,SAO MIGUEL DAS MATAS,10634.0
3889,SAO SEBASTIAO DO PASSE,42936.0
3891,SAPEACU,18609.0
3893,SATIRO DIAS,16485.0
3037,SAUBARA,11842.0
3895,SAUDE,10715.0
3897,SEABRA,48530.0
3899,SEBASTIAO LARANJEIRAS,9610.0
3901,SENHOR DO BONFIM,77976.0
3903,SENTO SE,
3039,SERRA DO RAMALHO,36119.0
3905,SERRA DOURADA,17580.0
3907,SERRA PRETA,18685.0
3909,SERRINHA,84428.0
3911,SERROLANDIA,13831.0
3913,SIMOES FILHO,120394.0
3041,SITIO DO MATO,13935.0
3043,SITIO DO QUINTO,14359.0
3045,SOBRADINHO,26959.0
3915,SOUTO SOARES,17674.0
3917,TABOCAS DO BREJO VELHO,12368.0
3919,TANHACU,21741.0
3991,TANQUE NOVO,17770.0
3921,TANQUINHO,7983.0
3923,TAPEROA,18571.0
3925,TAPIRAMUTA,16253.0
3993,TEIXEIRA DE FREITAS,153332.0
3927,TEODORO SAMPAIO,7301.0
3929,TEOFILANDIA,21827.0
3931,TEOLANDIA,15919.0
3933,TERRA NOVA,11035.0
3935,TREMEDAL,16691.0
3937,TUCANO,50959.0
3939,UAUA,25441.0
3941,UBAIRA,19162.0
3943,UBAITABA,17967.0
3945,UBATA,16097.0
3947,UIBAI,13880.0
3047,UMBURANAS,13888.0
3949,UNA,18403.0
3951,URANDI,15794.0
3953,URUCUCA,22130.0
3955,UTINGA,16691.0
3957,VALENCA,90028.0
3959,VALENTE,25126.0
3997,VARZEA DA ROCA,14279.0
3961,VARZEA DO POCO,8344.0
3995,VARZEA NOVA,13847.0
3049,VARZEDO,10296.0
3963,VERA CRUZ,44978.0
3051,VEREDA,6171.0
3965,VITORIA DA CONQUISTA,394024.0
3967,WAGNER,9847.0
3999,WANDERLEY,13436.0
3969,WENCESLAU GUIMARAES,25430.0
3971,XIQUE XIQUE,46979.0
